# time	Xh_Frames	P100_Output	Drive_Eh1	Laser_probe	
6.263587500000000235e-07	-2.921874999999962697e-02	-1.906249999999998224e-03	1.843749999999977351e-03	3.359374999999942268e-04
6.263987500000000689e-07	-3.203124999999751310e-03	4.812499999999997335e-03	3.578124999999987566e-03	-3.281250000000124345e-04
6.264387500000000083e-07	-1.367187500000000000e-02	-1.890624999999979128e-03	2.843749999999978240e-03	-6.484375000000153211e-04
6.264787500000000537e-07	-2.187499999999786837e-03	1.406249999999997780e-03	1.343749999999976907e-03	2.234374999999982903e-03
6.265187499999999932e-07	-2.734375000000000000e-02	-4.328124999999960476e-03	-3.750000000000031086e-03	-9.921875000000190958e-04
6.265587500000000385e-07	-2.289062500000005329e-02	-2.343749999999977796e-03	-1.000000000000000888e-03	4.609374999999804601e-04
6.265987499999999780e-07	-5.609375000000005329e-02	-4.203124999999974243e-03	-1.890625000000034639e-03	-7.812500000001221245e-05
6.266387500000000234e-07	-2.109374999999991118e-02	-5.000000000000004441e-04	-1.171875000000044409e-03	2.812499999999995559e-03
6.266787500000000687e-07	-3.445312499999975131e-02	-1.906249999999998224e-03	-4.531249999999986677e-04	1.820312500000004219e-03
6.267187500000000082e-07	-6.249999999998756550e-04	5.843750000000036415e-03	-6.156250000000029754e-03	-6.640625000000066613e-04
6.267587500000000536e-07	-3.539062499999978684e-02	-1.359374999999996003e-03	-1.875000000000071054e-04	2.640625000000007550e-03
6.267987499999999930e-07	-2.429687499999966249e-02	-4.640625000000009326e-03	1.937499999999980904e-03	1.445312499999990008e-03
6.268387500000000384e-07	-7.265625000000053291e-03	-4.015624999999967137e-03	6.921874999999966249e-03	2.367187500000006439e-03
6.268787499999999779e-07	1.164062500000007105e-02	-3.953125000000001776e-03	2.968749999999742428e-04	-7.031249999999988898e-04
6.269187500000000232e-07	1.281250000000033751e-02	-2.281250000000012434e-03	-3.718750000000048406e-03	-6.015625000000135447e-04
6.269587500000000686e-07	-3.406249999999966249e-02	-2.359374999999996891e-03	-3.406249999999999556e-03	-6.718750000000162093e-04
6.269987500000000081e-07	-2.226562499999973355e-02	-3.531249999999985789e-03	1.703124999999972022e-03	2.835937499999996447e-03
6.270387500000000534e-07	-3.773437499999987566e-02	-3.437499999999982236e-03	7.499999999999729106e-04	-5.859374999999944489e-04
