# time (ps)	level	
5.637500000000000000e+04	0.000000000000000000e+00
5.650000000000000000e+04	0.000000000000000000e+00
5.662500000000000000e+04	0.000000000000000000e+00
5.675000000000000000e+04	0.000000000000000000e+00
5.687500000000000000e+04	0.000000000000000000e+00
5.700000000000000000e+04	0.000000000000000000e+00
5.712500000000000000e+04	0.000000000000000000e+00
5.725000000000000000e+04	0.000000000000000000e+00
5.737500000000000000e+04	0.000000000000000000e+00
5.750000000000000000e+04	0.000000000000000000e+00
5.762500000000000000e+04	0.000000000000000000e+00
5.775000000000000000e+04	0.000000000000000000e+00
5.787500000000000000e+04	0.000000000000000000e+00
5.800000000000000000e+04	0.000000000000000000e+00
5.812500000000000000e+04	0.000000000000000000e+00
5.825000000000000000e+04	0.000000000000000000e+00
5.837500000000000000e+04	0.000000000000000000e+00
5.850000000000000000e+04	0.000000000000000000e+00
5.862500000000000000e+04	0.000000000000000000e+00
5.875000000000000000e+04	0.000000000000000000e+00
5.887500000000000000e+04	0.000000000000000000e+00
5.900000000000000000e+04	0.000000000000000000e+00
5.912500000000000000e+04	0.000000000000000000e+00
5.925000000000000000e+04	0.000000000000000000e+00
5.937500000000000000e+04	0.000000000000000000e+00
5.950000000000000000e+04	0.000000000000000000e+00
5.962500000000000000e+04	0.000000000000000000e+00
5.975000000000000000e+04	0.000000000000000000e+00
5.987500000000000000e+04	0.000000000000000000e+00
6.000000000000000000e+04	0.000000000000000000e+00
6.012500000000000000e+04	0.000000000000000000e+00
6.025000000000000000e+04	0.000000000000000000e+00
6.037500000000000000e+04	0.000000000000000000e+00
6.050000000000000000e+04	0.000000000000000000e+00
6.062500000000000000e+04	0.000000000000000000e+00
6.075000000000000000e+04	0.000000000000000000e+00
6.087500000000000000e+04	0.000000000000000000e+00
6.100000000000000000e+04	0.000000000000000000e+00
6.112500000000000000e+04	0.000000000000000000e+00
6.125000000000000000e+04	0.000000000000000000e+00
6.137500000000000000e+04	0.000000000000000000e+00
6.150000000000000000e+04	0.000000000000000000e+00
6.162500000000000000e+04	0.000000000000000000e+00
6.175000000000000000e+04	0.000000000000000000e+00
6.187500000000000000e+04	0.000000000000000000e+00
6.200000000000000000e+04	0.000000000000000000e+00
6.212500000000000000e+04	0.000000000000000000e+00
6.225000000000000000e+04	0.000000000000000000e+00
6.237500000000000000e+04	0.000000000000000000e+00
6.250000000000000000e+04	0.000000000000000000e+00
6.262500000000000000e+04	0.000000000000000000e+00
6.275000000000000000e+04	0.000000000000000000e+00
6.287500000000000000e+04	0.000000000000000000e+00
6.300000000000000000e+04	0.000000000000000000e+00
6.312500000000000000e+04	0.000000000000000000e+00
6.325000000000000000e+04	0.000000000000000000e+00
6.337500000000000000e+04	0.000000000000000000e+00
6.350000000000000000e+04	0.000000000000000000e+00
6.362500000000000000e+04	0.000000000000000000e+00
6.375000000000000000e+04	0.000000000000000000e+00
6.387500000000000000e+04	0.000000000000000000e+00
6.400000000000000000e+04	0.000000000000000000e+00
6.412500000000000000e+04	0.000000000000000000e+00
6.425000000000000000e+04	0.000000000000000000e+00
6.437500000000000000e+04	0.000000000000000000e+00
6.450000000000000000e+04	0.000000000000000000e+00
6.462500000000000000e+04	0.000000000000000000e+00
6.475000000000000000e+04	0.000000000000000000e+00
6.487500000000000000e+04	0.000000000000000000e+00
6.500000000000000000e+04	0.000000000000000000e+00
6.512500000000000000e+04	0.000000000000000000e+00
6.525000000000000000e+04	0.000000000000000000e+00
6.537500000000000000e+04	0.000000000000000000e+00
6.550000000000000000e+04	0.000000000000000000e+00
